AtBat,Hits,HmRun,Runs,RBI,Walks,Years,CAtBat,CHits,CHmRun,CRuns,CRBI,CWalks,League,Division,PutOuts,Assists,Errors,Salary,NewLeague
293.0,66.0,1.0,30.0,29.0,14.0,1.0,293.0,66.0,1.0,30.0,29.0,14.0,A,E,446.0,33.0,20,228.51942579567793,A
315.0,81.0,7.0,24.0,38.0,39.0,14.0,3449.0,835.0,69.0,321.0,414.0,375.0,N,W,632.0,43.0,10,475.0,N
479.0,130.0,18.0,66.0,72.0,76.0,3.0,1624.0,457.0,63.0,224.0,266.0,263.0,A,W,765.1000000000001,82.0,14,480.0,A
496.0,141.0,20.0,65.0,78.0,37.0,11.0,5628.0,1575.0,225.0,828.0,838.0,354.0,N,E,200.0,11.0,3,500.0,N
321.0,87.0,10.0,39.0,42.0,30.0,2.0,396.0,101.0,12.0,48.0,46.0,33.0,N,E,765.1000000000001,40.0,4,91.5,N
594.0,169.0,4.0,74.0,51.0,35.0,11.0,4408.0,1133.0,19.0,501.0,336.0,194.0,A,W,282.0,421.0,25,750.0,A
185.0,37.0,1.0,23.0,8.0,21.0,2.0,214.0,42.0,1.0,30.0,9.0,24.0,N,E,76.0,127.0,7,70.0,A
298.0,73.0,0.0,24.0,24.0,7.0,3.0,509.0,108.0,0.0,41.0,37.0,12.0,A,W,121.0,283.0,9,100.0,A
323.0,81.0,6.0,26.0,32.0,8.0,2.0,341.0,86.0,6.0,32.0,34.0,8.0,N,W,143.0,290.0,19,75.0,N
401.0,92.0,17.0,49.0,66.0,65.0,13.0,5206.0,1332.0,244.20000000000002,784.0,890.0,866.0,A,E,0.0,0.0,0,1100.0,A
574.0,159.0,21.0,107.0,75.0,59.0,10.0,4631.0,1300.0,90.0,702.0,504.0,488.0,A,E,238.0,445.0,22,517.143,A
202.0,53.0,4.0,31.0,26.0,27.0,9.0,1876.0,467.0,15.0,192.0,186.0,161.0,N,W,304.0,45.0,11,512.5,N
418.0,113.0,13.0,48.0,61.0,47.0,4.0,1512.0,392.0,41.0,205.0,204.0,203.0,N,E,211.0,11.0,7,550.0,N
239.0,60.0,0.0,30.0,11.0,22.0,6.0,1941.0,510.0,4.0,309.0,103.0,207.0,A,E,121.0,151.0,6,700.0,A
196.0,43.0,7.0,29.0,27.0,30.0,13.0,3231.0,825.0,36.0,376.0,290.0,238.0,N,E,80.0,45.0,8,240.0,N
183.0,39.0,3.0,20.0,15.0,11.0,3.0,201.0,42.0,3.0,20.0,16.0,11.0,A,W,118.0,0.0,0,28.00816925459766,A
568.0,158.0,20.0,89.0,75.0,73.0,15.0,8068.0,2273.0,177.0,1045.0,993.0,732.0,N,W,105.0,290.0,10,775.0,N
190.0,46.0,2.0,24.0,8.0,15.0,5.0,479.0,102.0,5.0,65.0,23.0,39.0,A,W,102.0,177.0,16,175.0,A
407.0,104.0,6.0,57.0,43.0,65.0,12.0,5233.0,1478.0,100.0,643.0,658.0,653.0,A,W,765.1000000000001,88.0,9,899.8086373414319,A
127.0,32.0,8.0,16.0,22.0,14.0,8.0,727.0,180.0,24.0,67.0,82.0,56.0,N,W,202.0,22.0,2,135.0,N
413.0,92.0,16.0,72.0,48.0,65.0,1.0,413.0,92.0,16.0,72.0,48.0,65.0,N,E,280.0,9.0,5,100.0,N
426.0,109.0,3.0,55.0,43.0,62.0,1.0,426.0,109.0,3.0,55.0,43.0,62.0,A,W,361.0,22.0,2,115.0,N
22.0,10.0,1.0,4.0,2.0,1.0,6.0,84.0,26.0,2.0,9.0,9.0,3.0,A,W,765.1000000000001,84.0,11,332.0801120598115,A
472.0,116.0,16.0,60.0,62.0,74.0,6.0,1924.0,489.0,67.0,242.0,251.0,240.0,N,W,518.0,55.0,3,600.0,N
